Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Running duration (ms)
12:45:00.000+01:00,13:00:00.000+01:00,7,25.01468635171738,241.60815780047605,,,0.8124515816468512,1.8360181035945904,0.3932437632738168,298,,,,30272,
13:00:00.000+01:00,13:15:00.000+01:00,11,59.525370669598146,690.2113625066255,5.0,5,1.1624388551451972,2.676613153069192,0.39324377256758597,791,,,,407437,
13:15:00.000+01:00,13:30:00.000+01:00,1,34.27350314394899,39.36488505983362,,,0.3932438094745774,0.3932438094745774,0.3932438094745774,50,,,,131461,
13:30:00.000+01:00,13:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,,
13:45:00.000+01:00,14:00:00.000+01:00,,22.244791383544605,,,,,,,,,,,,
14:00:00.000+01:00,14:15:00.000+01:00,11,76.53599546290765,835.241541769126,6.0,6,1.3859560874782657,1.7638715128568039,0.39324380357447963,959,,,,593345,
14:15:00.000+01:00,14:30:00.000+01:00,3,39.553066425647245,130.52146854976797,,,0.684846956394935,1.578261562754628,0.39692861462593193,161,,,,189161,
14:30:00.000+01:00,14:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,,
14:45:00.000+01:00,15:00:00.000+01:00,,22.244791383544605,,,,,,,,,,,,
15:00:00.000+01:00,15:15:00.000+01:00,10,67.4210170325275,771.4531223365484,5.0,5,1.431095423115169,1.7784439098995461,0.39324377256758597,892,,,,493728,
15:15:00.000+01:00,15:30:00.000+01:00,11,60.63600046358867,561.5245137820175,,,0.728993398239502,1.2944227454919894,0.39324378338993604,693,,,,419575,
15:30:00.000+01:00,15:45:00.000+01:00,1,22.244791383544605,88.72166104470568,,,,,,108,,,,,
15:45:00.000+01:00,16:00:00.000+01:00,6,22.244791383544605,478.869023275915,3.0,3,1.3912301194972148,1.7358046761112094,0.3932437977857046,558,,,,,
16:00:00.000+01:00,16:15:00.000+01:00,2,22.244791383544605,109.12305932807477,,,1.1493413005749338,1.1493413005749338,1.1493413005749338,137,,,,,
16:15:00.000+01:00,16:30:00.000+01:00,,22.244791383544605,,,,,,,,,,,,
16:30:00.000+01:00,16:45:00.000+01:00,8,58.46126017117735,644.9016895424602,5.0,5,1.4405293147186393,1.7470166714246462,0.3932437652238487,741,,,,386283,
16:45:00.000+01:00,17:00:00.000+01:00,2,37.47720070343081,167.55953168214555,,,0.8574277882146354,1.2924396317544784,0.3408112881219117,217,,,,166474,
17:00:00.000+01:00,17:15:00.000+01:00,,22.244791383544605,,,,,,,26,,,,,
17:15:00.000+01:00,17:30:00.000+01:00,,22.244791383544605,,,,,,,11,,,,,
17:30:00.000+01:00,17:45:00.000+01:00,4,48.455509387617994,250.30493565715855,1.0,1,1.1793969964339444,1.648209610610486,0.39324378652975384,297,,,,286295,
17:45:00.000+01:00,18:00:00.000+01:00,5,68.85400213746124,145.12126046973302,,,0.3932437733451587,0.39324378823422634,0.39324375845609105,185,,,,509389,
18:00:00.000+01:00,18:15:00.000+01:00,15,22.244791383544605,735.1917867935075,2.0,2,0.9829859677034251,2.279372686545087,0.4812378955953551,870,,,,,
18:15:00.000+01:00,18:30:00.000+01:00,13,22.244791383544605,626.2952434403028,2.0,2,0.943104596392001,1.667287858144854,0.24869370402825947,762,,,,,
18:30:00.000+01:00,18:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,,
18:45:00.000+01:00,19:00:00.000+01:00,2,22.2447913835446,71.57037050560146,,,0.6750636473807854,0.9568835314877538,0.3932437632738168,91,,,,,
19:00:00.000+01:00,19:15:00.000+01:00,,22.244791383544598,,,,,,,,,,,,
19:15:00.000+01:00,19:30:00.000+01:00,,22.244791383544598,,,,,,,,,,,,
19:30:00.000+01:00,19:45:00.000+01:00,,22.244791383544598,,,,,,,,,,,,
19:45:00.000+01:00,20:00:00.000+01:00,,22.244791383544598,,,,,,,,,,,,
20:00:00.000+01:00,20:15:00.000+01:00,,22.244791383544598,,,,,,,,,,,,
20:15:00.000+01:00,20:30:00.000+01:00,,22.244791383544598,,,,,,,,,,,,
20:30:00.000+01:00,20:45:00.000+01:00,3,26.430560913606442,132.24942643931283,,,0.8124490582173064,1.4112158497924079,0.2752706557907748,163,,,,45746,
20:45:00.000+01:00,21:00:00.000+01:00,4,43.83940424337284,333.1863267218748,2.0,2,0.9551784067147954,1.6681110230286738,0.4503034284442747,410,,,,236006,
21:00:00.000+01:00,21:15:00.000+01:00,,22.24479138354461,,,,,,,,,,,,
21:15:00.000+01:00,21:30:00.000+01:00,,22.24479138354461,8.651363467710066,,,0.4029009735541009,0.4029009735541009,0.4029009735541009,11,,,,,
21:30:00.000+01:00,21:45:00.000+01:00,7,94.2823081360328,744.6008144829257,5.0,3,1.9663434268393836,3.8479348888181084,0.3932437604300203,692,,,,255504,120418
21:45:00.000+01:00,22:00:00.000+01:00,7,103.24876813199393,604.7146183903375,4.0,4,1.4920317575319475,1.8060100964372996,0.2548461520876412,679,,,,884994,
22:00:00.000+01:00,22:15:00.000+01:00,,23.868005467033804,,,,,,,,,,,17740,
22:15:00.000+01:00,22:30:00.000+01:00,,22.2447913835446,,,,,,,,,,,,
22:30:00.000+01:00,22:45:00.000+01:00,,22.2447913835446,,,,,,,,,,,,
22:45:00.000+01:00,23:00:00.000+01:00,,22.2447913835446,,,,,,,,,,,,
23:00:00.000+01:00,23:15:00.000+01:00,,22.2447913835446,,,,,,,,,,,,
23:15:00.000+01:00,23:30:00.000+01:00,,22.2447913835446,,,,,,,,,,,,
23:30:00.000+01:00,23:45:00.000+01:00,,22.2447913835446,,,,,,,,,,,,
23:45:00.000+01:00,00:00:00.000+01:00,4,29.349573713490653,226.9405769915414,,,0.5662670092615506,3.656208013166183,0.24770480815034265,292,,,,77648,
