Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Running duration (ms)
2022-12-11,119,1858.8887716708703,7811.399416154299,38.0,38,0.8090630524288812,1.86852504261127,0.25378862305404803,9741,110.0999984741211,110.0999984741211,110.0999984741211,7337881,
2022-12-12,113,2826.626707425372,7253.080621891226,35.0,33,0.552883654863408,2.407540967005405,0.2621625293245475,8840,,,,5865641,754521
2022-12-13,163,2819.251965757528,11272.825782468239,66.0,66,0.6965960627204325,2.3322832640804085,0.2621625293245475,13397,,,,7465398,
2022-12-14,127,2289.0340308911655,6841.731754773356,27.0,27,0.6882101892293756,1.777177843362154,0.2621625293245475,8408,,,,1677964,
2022-12-15,185,2714.5027803871335,11244.197099421503,48.0,46,0.5373972893854272,3.8479348888181084,0.24770480815034265,13291,,,,5785905,120418
2022-12-16,129,2693.25294710211,7178.277174845992,24.0,24,0.7197178490674602,1.96999753776308,0.2621625293245475,8715,,,,6085565,
2022-12-17,90,2441.8964476879983,4709.450746067433,15.0,14,0.6854358281570064,2.6757346370155477,0.2752706557907748,5701,,,,3344097,
2022-12-18,82,3343.0567526145833,12469.763656967845,108.0,59,1.4147730944833385,3.82809788558517,0.3014869087232296,10368,,,,691608,3629087
2022-12-19,140,2840.426748080962,8748.94715847438,41.0,41,0.67691556239651,2.1032083220461413,0.33343875940627726,10521,,,,7684777,
2022-12-20,152,2911.800280949802,9783.843561631407,44.0,44,0.6423401447312785,1.911709281125746,0.2621625293245475,11764,,,,8456406,
2022-12-21,144,2801.164999643952,9782.824503677044,54.0,54,0.7162375404931542,1.8384828409523075,0.2628567407166967,11719,,,,7252249,
2022-12-22,123,2802.3216847579247,6982.166168308704,24.0,23,0.6235661892985029,2.681053611517657,0.2634036416566695,8485,,,,7286181,
2022-12-23,,735.1167991159742,28.215018760476468,,,0.3277031616556843,0.3277031616556843,0.3277031616556843,35,,,,,
