Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
13:45:00.000+01:00,14:00:00.000+01:00,,22.2447913835446,,,,,,,,,,,
14:00:00.000+01:00,14:15:00.000+01:00,,22.2447913835446,,,,,,,,,,,
14:15:00.000+01:00,14:30:00.000+01:00,,22.2447913835446,,,,,,,,,,,
14:30:00.000+01:00,14:45:00.000+01:00,5,57.805440842802966,520.7333125483501,5.0,5,1.7529456771651646,1.7856353487147079,1.6560761083884195,594,,,,388640
14:45:00.000+01:00,15:00:00.000+01:00,15,88.2758409966167,899.4270671185554,5.0,5,1.089655338098469,1.7773506229190668,0.42746354620457694,1071,,,,721649
15:00:00.000+01:00,15:15:00.000+01:00,9,47.53527200633201,469.3712306606166,,,0.8489155986564448,1.172121968293691,0.7161606155287219,605,,,,276398
15:15:00.000+01:00,15:30:00.000+01:00,1,40.62856013124657,46.25451556236924,,,0.393243769825924,0.393243769825924,0.393243769825924,59,,,,200915
15:30:00.000+01:00,15:45:00.000+01:00,9,74.91735639092772,712.2813925478089,4.0,4,1.2965704817829427,1.6861460769977177,0.4205703526502726,850,,,,575655
15:45:00.000+01:00,16:00:00.000+01:00,6,38.08814290616747,374.7216169241955,2.0,2,1.277763954108301,1.6360208620769492,0.3932437972874904,438,,,,173098
16:00:00.000+01:00,16:15:00.000+01:00,1,36.777864444123715,69.07701782978037,,,0.5385981198644054,0.7494930780731266,0.3277031616556843,88,,,,158831
16:15:00.000+01:00,16:30:00.000+01:00,,22.24479138354461,,,,,,,,,,,
16:30:00.000+01:00,16:45:00.000+01:00,,22.24479138354461,,,,,,,,,,,
16:45:00.000+01:00,17:00:00.000+01:00,,22.24479138354461,,,,,,,7,,,,
17:00:00.000+01:00,17:15:00.000+01:00,,22.24479138354461,,,,,,,,,,,
17:15:00.000+01:00,17:30:00.000+01:00,,22.24479138354461,,,,,,,,,,,
17:30:00.000+01:00,17:45:00.000+01:00,,22.24479138354461,,,,,,,,,,,
17:45:00.000+01:00,18:00:00.000+01:00,,23.558368688086375,40.110866986655765,,,0.3932437756831109,0.3932437756831109,0.3932437756831109,51,,,,14356
18:00:00.000+01:00,18:15:00.000+01:00,,25.2905595457264,31.459503518945695,,,0.3932437537186608,0.3932437537186608,0.3932437537186608,40,,,,33287
18:15:00.000+01:00,18:30:00.000+01:00,,22.2447913835446,,,,,,,,,,,
18:30:00.000+01:00,18:45:00.000+01:00,,22.2447913835446,,,,,,,,,,,
18:45:00.000+01:00,19:00:00.000+01:00,,22.2447913835446,,,,,,,,,,,
19:00:00.000+01:00,19:15:00.000+01:00,,22.2447913835446,,,,,,,,,,,
19:15:00.000+01:00,19:30:00.000+01:00,,22.2447913835446,,,,,,,,,,,
19:30:00.000+01:00,19:45:00.000+01:00,,22.2447913835446,,,,,,,,,,,
19:45:00.000+01:00,20:00:00.000+01:00,,22.2447913835446,,,,,,,7,,,,
20:00:00.000+01:00,20:15:00.000+01:00,3,22.2447913835446,104.25100151756534,,,0.8459997144799453,1.148493936242653,0.49508561851281735,138,,,,
20:15:00.000+01:00,20:30:00.000+01:00,3,42.379600036304794,227.92819524755157,2.0,2,1.266781004709147,1.6512146659576004,0.3932438009296083,265,,,,220052
20:30:00.000+01:00,20:45:00.000+01:00,5,55.76013619746847,256.16906681667814,,,0.5368782082203994,1.1458757543360378,0.3932437756831109,326,,,,366287
20:45:00.000+01:00,21:00:00.000+01:00,7,59.63819045341676,678.3756439720775,6.0,6,0.980182472507084,1.687967640023235,0.3014869087232296,780,,,,408670
21:00:00.000+01:00,21:15:00.000+01:00,13,93.84948034578788,1097.3136964538478,8.0,8,1.4047903586522172,1.755652903839786,0.7938305202862906,1282,,,,768726
21:15:00.000+01:00,21:30:00.000+01:00,,22.2447913835446,,,,,,,,,,,
21:30:00.000+01:00,21:45:00.000+01:00,8,66.23654655277734,745.5926319644368,7.0,7,1.5490046019817796,1.663937508723993,0.8414114454286948,854,,,,480783
21:45:00.000+01:00,22:00:00.000+01:00,8,71.36284694891502,684.2937857315703,5.0,5,0.9047706694178588,1.6624305362025953,0.2628567407166967,801,,,,536808
22:00:00.000+01:00,22:15:00.000+01:00,12,78.52301446161405,735.4377210293553,3.0,3,1.196271273254708,1.6742890321306731,0.4268687520394177,890,,,,615061
22:15:00.000+01:00,22:30:00.000+01:00,,22.244791383544605,,,,,,,,,,,
22:30:00.000+01:00,22:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,
22:45:00.000+01:00,23:00:00.000+01:00,,22.244791383544605,,,,,,,,,,,
23:00:00.000+01:00,23:15:00.000+01:00,,22.244791383544605,,,,,,,17,,,,
23:15:00.000+01:00,23:30:00.000+01:00,,22.2447913835446,,,,,,,19,,,,
23:30:00.000+01:00,23:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,
23:45:00.000+01:00,00:00:00.000+01:00,,22.244791383544605,,,,,,,,,,,
