Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
00:00:00.000+01:00,00:15:00.000+01:00,,22.2447913835446,,,,,,,,,,,
00:15:00.000+01:00,00:30:00.000+01:00,,22.2447913835446,,,,,,,,,,,
00:30:00.000+01:00,00:45:00.000+01:00,,22.2447913835446,,,,,,,12,,,,
00:45:00.000+01:00,01:00:00.000+01:00,,22.244791383544605,,,,,,,,,,,
01:00:00.000+01:00,01:15:00.000+01:00,,22.244791383544605,,,,,,,,,,,
01:15:00.000+01:00,01:30:00.000+01:00,,22.244791383544605,,,,,,,,,,,
01:30:00.000+01:00,01:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,
01:45:00.000+01:00,02:00:00.000+01:00,,22.244791383544605,,,,,,,,,,,
02:00:00.000+01:00,02:15:00.000+01:00,,22.244791383544605,,,,,,,,,,,
02:15:00.000+01:00,02:30:00.000+01:00,,22.244791383544605,,,,,,,,,,,
02:30:00.000+01:00,02:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,
02:45:00.000+01:00,03:00:00.000+01:00,,22.244791383544605,,,,,,,,,,,
03:00:00.000+01:00,03:15:00.000+01:00,,22.244791383544605,,,,,,,,,,,
03:15:00.000+01:00,03:30:00.000+01:00,,22.244791383544605,,,,,,,,,,,
03:30:00.000+01:00,03:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,
03:45:00.000+01:00,04:00:00.000+01:00,,22.244791383544605,,,,,,,,,,,
04:00:00.000+01:00,04:15:00.000+01:00,,22.244791383544605,,,,,,,,,,,
04:15:00.000+01:00,04:30:00.000+01:00,,22.244791383544605,,,,,,,,,,,
04:30:00.000+01:00,04:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,
04:45:00.000+01:00,05:00:00.000+01:00,,22.244791383544605,,,,,,,,,,,
05:00:00.000+01:00,05:15:00.000+01:00,,22.244791383544605,,,,,,,,,,,
05:15:00.000+01:00,05:30:00.000+01:00,,22.244791383544605,,,,,,,,,,,
05:30:00.000+01:00,05:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,
05:45:00.000+01:00,06:00:00.000+01:00,,22.244791383544605,,,,,,,,,,,
06:00:00.000+01:00,06:15:00.000+01:00,,22.244791383544605,,,,,,,,,,,
06:15:00.000+01:00,06:30:00.000+01:00,,22.244791383544605,,,,,,,,,,,
06:30:00.000+01:00,06:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,
06:45:00.000+01:00,07:00:00.000+01:00,,22.244791383544605,,,,,,,,,,,
07:00:00.000+01:00,07:15:00.000+01:00,,22.244791383544605,,,,,,,,,,,
07:15:00.000+01:00,07:30:00.000+01:00,,22.244791383544605,,,,,,,,,,,
07:30:00.000+01:00,07:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,
07:45:00.000+01:00,08:00:00.000+01:00,,22.244791383544605,,,,,,,,,,,
08:00:00.000+01:00,08:15:00.000+01:00,,22.244791383544605,,,,,,,,,,,
08:15:00.000+01:00,08:30:00.000+01:00,,22.2447913835446,,,,,,,,,,,
08:30:00.000+01:00,08:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,
08:45:00.000+01:00,09:00:00.000+01:00,,22.244791383544605,,,,,,,,,,,
09:00:00.000+01:00,09:15:00.000+01:00,,22.244791383544605,7.668647886480004,,,,,,10,,,,
09:15:00.000+01:00,09:30:00.000+01:00,12,22.244791383544605,759.8661776267672,4.0,4,1.1944128292383214,1.7528979983188324,0.39324378652975384,882,,,,
09:30:00.000+01:00,09:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,
09:45:00.000+01:00,10:00:00.000+01:00,6,37.42477107153458,247.5843669561495,,,0.8226629261991623,1.0906775592478746,0.393243784917415,314,,,,165901
10:00:00.000+01:00,10:15:00.000+01:00,15,104.59499855041503,1161.7134451341155,8.0,8,1.3363159099898287,1.7840200709403697,0.3195248471163956,1372,,,,900000
10:15:00.000+01:00,10:30:00.000+01:00,4,40.97745050894355,305.7454238545884,2.0,2,1.5143570470652672,1.68000668034486,0.9870915018209898,352,,,,204728
10:30:00.000+01:00,10:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,
10:45:00.000+01:00,11:00:00.000+01:00,3,29.949751266767557,105.71795352121444,,,0.39324377705161256,0.39324377705161256,0.39324377705161256,132,,,,84207
11:00:00.000+01:00,11:15:00.000+01:00,15,89.56608574246117,1070.7200591214446,7.0,7,1.490142973409913,1.7766508437076727,0.4686937181577587,1249,,,,735750
11:15:00.000+01:00,11:30:00.000+01:00,13,70.08117752576392,862.4101287356532,6.0,6,1.33099895060425,1.7471140955621214,0.4373397003228185,1016,,,,516504
11:30:00.000+01:00,11:45:00.000+01:00,2,30.953417291671336,80.22173397331153,,,0.3952453116026363,0.39724681963079306,0.39324380357447963,114,,,,95176
11:45:00.000+01:00,12:00:00.000+01:00,1,22.2447913835446,58.200081510049536,,,0.3932437861968498,0.39324380357447963,0.39324376881922,74,,,,
12:00:00.000+01:00,12:15:00.000+01:00,,22.2447913835446,,,,,,,38,,,,
12:15:00.000+01:00,12:30:00.000+01:00,2,53.79379625078396,110.55408871805191,,,0.5982952063503615,1.5369742496062833,0.2621625293245475,156,,,,344797
12:30:00.000+01:00,12:45:00.000+01:00,,55.28808650994192,,,,,,,,,,,361128
12:45:00.000+01:00,13:00:00.000+01:00,,22.244791383544605,,,,,,,18,,,,
13:00:00.000+01:00,13:15:00.000+01:00,6,52.73645012881322,313.46023984623577,1.0,1,1.2183459898313052,1.8069576345727847,0.39324381142579085,375,,,,332953
13:15:00.000+01:00,13:30:00.000+01:00,5,43.435787193335,320.0781867228266,,,0.8010548759165984,1.2088659933771058,0.39324375845609105,398,,,,231595
13:30:00.000+01:00,13:45:00.000+01:00,15,104.59499855041504,1260.8312306739645,8.0,8,1.5333157375562911,2.1122874039729482,0.7670654897726001,1451,,,,900000
13:45:00.000+01:00,14:00:00.000+01:00,6,104.59499855041504,638.40387092767,5.0,5,1.062978674308122,1.8538666151580074,0.36702754105436647,719,,,,900000
14:00:00.000+01:00,14:15:00.000+01:00,2,34.23054603197781,117.71010572638176,1.0,1,1.049961555997593,1.5977869631108426,0.39324375589531796,145,,,,130294
14:15:00.000+01:00,14:30:00.000+01:00,13,104.59499855041504,1193.1255815077245,8.0,8,1.592818751418403,2.3322832640804085,0.6893929115483033,1370,,,,900000
14:30:00.000+01:00,14:45:00.000+01:00,,22.461189427933107,,,,,,,1,,,,2365
14:45:00.000+01:00,15:00:00.000+01:00,,22.244791383544605,,,,,,,,,,,
15:00:00.000+01:00,15:15:00.000+01:00,,22.244791383544605,,,,,,,,,,,
15:15:00.000+01:00,15:30:00.000+01:00,,22.244791383544605,,,,,,,,,,,
15:30:00.000+01:00,15:45:00.000+01:00,,22.244791383544605,,,,,,,,,,,
15:45:00.000+01:00,16:00:00.000+01:00,,22.244791383544605,,,,,,,,,,,
16:00:00.000+01:00,16:15:00.000+01:00,11,22.244791383544605,881.3319005114558,8.0,8,1.4260313877372628,1.6819147817680027,0.35842228939336573,1046,,,,
16:15:00.000+01:00,16:30:00.000+01:00,8,43.00225910271652,514.365930262641,2.0,2,0.7309580365970274,1.747933935791116,0.2621625293245475,636,,,,226857
16:30:00.000+01:00,16:45:00.000+01:00,12,61.87747558674434,602.8144435123252,3.0,3,0.6457147669511425,1.7050710019760322,0.3014869087232296,725,,,,433143
16:45:00.000+01:00,17:00:00.000+01:00,12,22.244791383544598,641.4264836278215,3.0,3,1.3263617463314303,1.6275367208538265,0.5958845246012037,768,,,,
17:00:00.000+01:00,17:15:00.000+01:00,,22.244791383544598,,,,,,,,,,,
17:15:00.000+01:00,17:30:00.000+01:00,,22.244791383544598,,,,,,,,,,,
17:30:00.000+01:00,17:45:00.000+01:00,,22.244791383544598,,,,,,,,,,,
17:45:00.000+01:00,18:00:00.000+01:00,,22.244791383544598,,,,,,,,,,,
18:00:00.000+01:00,18:15:00.000+01:00,,22.244791383544598,,,,,,,,,,,
18:15:00.000+01:00,18:30:00.000+01:00,,22.244791383544598,,,,,,,,,,,
18:30:00.000+01:00,18:45:00.000+01:00,,22.244791383544598,,,,,,,,,,,
18:45:00.000+01:00,19:00:00.000+01:00,,22.244791383544598,,,,,,,,,,,
19:00:00.000+01:00,19:15:00.000+01:00,,22.244791383544598,,,,,,,,,,,
19:15:00.000+01:00,19:30:00.000+01:00,,22.244791383544598,,,,,,,,,,,
19:30:00.000+01:00,19:45:00.000+01:00,,22.244791383544598,,,,,,,,,,,
19:45:00.000+01:00,20:00:00.000+01:00,,22.244791383544598,,,,,,,,,,,
20:00:00.000+01:00,20:15:00.000+01:00,,22.244791383544598,,,,,,,,,,,
